"","year","origin","asylum","population_type","population"
"195","2022","Palestinian","State of Palestine","m_minor_all",461131
"196","2022","Palestinian","Jordan","female_0-4",42671
"197","2022","Palestinian","Jordan","female_5-11",112582
"198","2022","Palestinian","Jordan","female_12-17",130713
"199","2022","Palestinian","Jordan","female_18-59",697236
"200","2022","Palestinian","Jordan","female_60",173131
"201","2022","Palestinian","Jordan","female_total",1156333
"202","2022","Palestinian","Jordan","male_0-4",45440
"203","2022","Palestinian","Jordan","male_5-11",118590
"204","2022","Palestinian","Jordan","male_12-17",136541
"205","2022","Palestinian","Jordan","male_18-59",730014
"206","2022","Palestinian","Jordan","male_60",178172
"207","2022","Palestinian","Jordan","male_total",1208757
"208","2022","Palestinian","Jordan","total",2365090
"209","2022","Palestinian","Jordan","f_minor_all",285966
"210","2022","Palestinian","Jordan","m_minor_all",300571
"211","2022","Palestinian","Lebanon","female_0-4",11093
"212","2022","Palestinian","Lebanon","female_5-11",21290
"213","2022","Palestinian","Lebanon","female_12-17",19168
"214","2022","Palestinian","Lebanon","female_18-59",142095
"215","2022","Palestinian","Lebanon","female_60",46663
"216","2022","Palestinian","Lebanon","female_total",240309
"217","2022","Palestinian","Lebanon","male_0-4",11708
"218","2022","Palestinian","Lebanon","male_5-11",22526
"219","2022","Palestinian","Lebanon","male_12-17",20360
"220","2022","Palestinian","Lebanon","male_18-59",146815
"221","2022","Palestinian","Lebanon","male_60",45564
"222","2022","Palestinian","Lebanon","male_total",246973
"223","2022","Palestinian","Lebanon","total",487282
"224","2022","Palestinian","Lebanon","f_minor_all",51551
"225","2022","Palestinian","Lebanon","m_minor_all",54594
"226","2022","Palestinian","Syrian Arab Rep.","female_0-4",18133
"227","2022","Palestinian","Syrian Arab Rep.","female_5-11",33009
"228","2022","Palestinian","Syrian Arab Rep.","female_12-17",33771
"229","2022","Palestinian","Syrian Arab Rep.","female_18-59",162300
"230","2022","Palestinian","Syrian Arab Rep.","female_60",43485
"231","2022","Palestinian","Syrian Arab Rep.","female_total",290698
"232","2022","Palestinian","Syrian Arab Rep.","male_0-4",18709
"233","2022","Palestinian","Syrian Arab Rep.","male_5-11",34661
"234","2022","Palestinian","Syrian Arab Rep.","male_12-17",35191
"235","2022","Palestinian","Syrian Arab Rep.","male_18-59",164228
"236","2022","Palestinian","Syrian Arab Rep.","male_60",37236
"237","2022","Palestinian","Syrian Arab Rep.","male_total",290025
"238","2022","Palestinian","Syrian Arab Rep.","total",580723
"239","2022","Palestinian","Syrian Arab Rep.","f_minor_all",84913
"240","2022","Palestinian","Syrian Arab Rep.","m_minor_all",88561
"241","2023","Palestinian","State of Palestine","female_0-4",104632
"242","2023","Palestinian","State of Palestine","female_5-11",178447
"243","2023","Palestinian","State of Palestine","female_12-17",152950
