Year,Country of origin,Country of asylum,Total
2018,Palestinian,Syrian Arab Rep.,560139
2018,Palestinian,State of Palestine,2267747
2019,Palestinian,Jordan,2272411
2019,Palestinian,Lebanon,476033
2019,Palestinian,Syrian Arab Rep.,562312
2019,Palestinian,State of Palestine,2319073
2020,Palestinian,State of Palestine,2348243
2020,Palestinian,Jordan,2307011
2020,Palestinian,Lebanon,479537
2020,Palestinian,Syrian Arab Rep.,568730
2021,Palestinian,State of Palestine,2400208
2021,Palestinian,Jordan,2334789
2021,Palestinian,Lebanon,482676
2021,Palestinian,Syrian Arab Rep.,575234
2022,Palestinian,State of Palestine,2454258
2022,Palestinian,Jordan,2365090
2022,Palestinian,Lebanon,487282
2022,Palestinian,Syrian Arab Rep.,580723
2023,Palestinian,State of Palestine,2496694
2023,Palestinian,Jordan,2392531
2023,Palestinian,Lebanon,492833
2023,Palestinian,Syrian Arab Rep.,586578
2024,Palestinian,Jordan,2396955
2024,Palestinian,Lebanon,492946
2024,Palestinian,Syrian Arab Rep.,588073
2024,Palestinian,State of Palestine,2497976
