"","year","origin","asylum","population_type","population","gender","age"
"127","2021","Palestinian","State of Palestine","male_0-4",115363,"male","0-4"
"128","2021","Palestinian","State of Palestine","male_5-11",189495,"male","5-11"
"129","2021","Palestinian","State of Palestine","male_12-17",151435,"male","12-17"
"130","2021","Palestinian","State of Palestine","male_18-59",640870,"male","18-59"
"131","2021","Palestinian","State of Palestine","male_60",117616,"male","60"
"132","2021","Palestinian","State of Palestine","male_total",1214779,"male","total"
"133","2021","Palestinian","State of Palestine","total",2400208,"total",""
"134","2021","Palestinian","State of Palestine","f_minor_all",432902,"f","minor_all"
"135","2021","Palestinian","State of Palestine","m_minor_all",456293,"m","minor_all"
"136","2021","Palestinian","Jordan","female_0-4",44731,"female","0-4"
"137","2021","Palestinian","Jordan","female_5-11",116338,"female","5-11"
"138","2021","Palestinian","Jordan","female_12-17",130166,"female","12-17"
"139","2021","Palestinian","Jordan","female_18-59",685706,"female","18-59"
"140","2021","Palestinian","Jordan","female_60",164242,"female","60"
"141","2021","Palestinian","Jordan","female_total",1141183,"female","total"
"142","2021","Palestinian","Jordan","male_0-4",47717,"male","0-4"
"143","2021","Palestinian","Jordan","male_5-11",122674,"male","5-11"
"144","2021","Palestinian","Jordan","male_12-17",135957,"male","12-17"
"145","2021","Palestinian","Jordan","male_18-59",718095,"male","18-59"
"146","2021","Palestinian","Jordan","male_60",169163,"male","60"
"147","2021","Palestinian","Jordan","male_total",1193606,"male","total"
"148","2021","Palestinian","Jordan","total",2334789,"total",""
"149","2021","Palestinian","Jordan","f_minor_all",291235,"f","minor_all"
"150","2021","Palestinian","Jordan","m_minor_all",306348,"m","minor_all"
"151","2021","Palestinian","Lebanon","female_0-4",11438,"female","0-4"
"152","2021","Palestinian","Lebanon","female_5-11",21407,"female","5-11"
"153","2021","Palestinian","Lebanon","female_12-17",18919,"female","12-17"
"154","2021","Palestinian","Lebanon","female_18-59",141621,"female","18-59"
"155","2021","Palestinian","Lebanon","female_60",44536,"female","60"
"156","2021","Palestinian","Lebanon","female_total",237921,"female","total"
"157","2021","Palestinian","Lebanon","male_0-4",11971,"male","0-4"
"158","2021","Palestinian","Lebanon","male_5-11",22818,"male","5-11"
"159","2021","Palestinian","Lebanon","male_12-17",19882,"male","12-17"
"160","2021","Palestinian","Lebanon","male_18-59",146556,"male","18-59"
"161","2021","Palestinian","Lebanon","male_60",43528,"male","60"
"162","2021","Palestinian","Lebanon","male_total",244755,"male","total"
"163","2021","Palestinian","Lebanon","total",482676,"total",""
"164","2021","Palestinian","Lebanon","f_minor_all",51764,"f","minor_all"
"165","2021","Palestinian","Lebanon","m_minor_all",54671,"m","minor_all"
"166","2021","Palestinian","Syrian Arab Rep.","female_0-4",19314,"female","0-4"
"167","2021","Palestinian","Syrian Arab Rep.","female_5-11",34311,"female","5-11"
"168","2021","Palestinian","Syrian Arab Rep.","female_12-17",32907,"female","12-17"
"169","2021","Palestinian","Syrian Arab Rep.","female_18-59",159910,"female","18-59"
"170","2021","Palestinian","Syrian Arab Rep.","female_60",41183,"female","60"
"171","2021","Palestinian","Syrian Arab Rep.","female_total",287625,"female","total"
"172","2021","Palestinian","Syrian Arab Rep.","male_0-4",19886,"male","0-4"
"173","2021","Palestinian","Syrian Arab Rep.","male_5-11",36174,"male","5-11"
"174","2021","Palestinian","Syrian Arab Rep.","male_12-17",34026,"male","12-17"
"175","2021","Palestinian","Syrian Arab Rep.","male_18-59",162024,"male","18-59"
"176","2021","Palestinian","Syrian Arab Rep.","male_60",35499,"male","60"
"177","2021","Palestinian","Syrian Arab Rep.","male_total",287609,"male","total"
"178","2021","Palestinian","Syrian Arab Rep.","total",575234,"total",""
"179","2021","Palestinian","Syrian Arab Rep.","f_minor_all",86532,"f","minor_all"
"180","2021","Palestinian","Syrian Arab Rep.","m_minor_all",90086,"m","minor_all"
"181","2022","Palestinian","State of Palestine","female_0-4",108252,"female","0-4"
"182","2022","Palestinian","State of Palestine","female_5-11",178911,"female","5-11"
"183","2022","Palestinian","State of Palestine","female_12-17",150133,"female","12-17"
"184","2022","Palestinian","State of Palestine","female_18-59",633591,"female","18-59"
"185","2022","Palestinian","State of Palestine","female_60",141023,"female","60"
"186","2022","Palestinian","State of Palestine","female_total",1211910,"female","total"
"187","2022","Palestinian","State of Palestine","male_0-4",115645,"male","0-4"
"188","2022","Palestinian","State of Palestine","male_5-11",188995,"male","5-11"
"189","2022","Palestinian","State of Palestine","male_12-17",156491,"male","12-17"
"190","2022","Palestinian","State of Palestine","male_18-59",657531,"male","18-59"
"191","2022","Palestinian","State of Palestine","male_60",123686,"male","60"
"192","2022","Palestinian","State of Palestine","male_total",1242348,"male","total"
"193","2022","Palestinian","State of Palestine","total",2454258,"total",""
